x,AccuLevel,DetectorLoad,AccuControl,Setpoint,AccuTsat
1236.04,51.561,40.6639,-17.443,,-16.0331
1246.57,51.7012,40.7206,-17.5287,,-15.9838
1254.45,51.7902,40.763,-16.5335,,-15.9478
1268.64,51.9553,40.8393,-15.2748,,-15.8847
1270.69,51.9821,40.8504,-14.8826,,-15.8757
1279.68,52.1126,40.8988,-12.1689,,-15.8369
1285.12,52.2017,40.928,-11.0922,,-15.8138
1293.87,52.3644,40.9751,-9.8446,,-15.7772
1299.04,52.4824,41.003,-9.0923,,-15.7557
1309.64,52.6567,41.06,-7.7399,,-15.7124
1313.22,52.6754,41.0793,-7.3677,,-15.6978
1336.43,52.7188,41.2042,-5.3455,,-15.6029
1344.72,52.7746,41.2488,-4.719,,-15.5677
1360.06,52.8573,41.3314,-3.8059,,-15.4989
1369.92,52.9148,41.3844,-3.4543,,-15.4519
1375.81,52.9491,41.4162,-3.0713,,-15.4227
1382.12,52.9858,41.4501,-1.3998,,-15.3907
1395.12,53.0613,41.5201,-0.5117,,-15.3226
1401.03,53.0956,41.5519,-0.5335,,-15.2908
1412.04,53.1595,41.6112,-1.6519,,-15.2306
1429.38,53.26,41.7045,-0.0332,,-15.134
1464.03,53.4605,41.891,0.8065,,-14.9379
1478.22,53.5424,41.9673,2.1794,,-14.8574
1481.98,53.5642,41.9876,2.3849,,-14.836
1497.12,53.6516,42.0745,2.5129,,-14.7503
1516.01,53.7607,42.1829,2.0852,,-14.6439
1561.68,54.024,42.4451,2.3774,,-14.3919
1580.12,54.1301,42.5509,2.723,,-14.2933
1586.89,54.1691,42.5898,3.0123,,-14.2577
1605.79,54.2778,42.6983,3.8025,,-14.16
1648.31,54.5221,42.9423,3.5063,,-13.9481
1670.35,54.6485,43.0689,2.7917,,-13.8415
1692.39,54.7748,43.1954,2.1532,,-13.7363
1711.28,54.8828,43.3038,0.66,,-13.6467
1733.32,55.0085,43.4304,-0.0546,,-13.5419
1753.82,55.1251,43.548,-0.5958,,-13.4433
1760.12,55.1608,43.5842,-0.6075,,-13.4126
1761.67,55.1696,43.593,-0.582,,-13.4051
1773.09,55.2341,43.6586,0.0584,,-13.3488
1782.15,55.2851,43.7105,0.5976,,-13.3035
1804.19,55.4076,43.837,0.0352,,-13.1909
1816.79,55.4761,43.9092,-0.6939,,-13.1248
1837.26,55.5851,44.0267,-0.1233,,-13.0142
1859.3,55.704,44.1531,-1.0282,,-12.8909
1890.81,55.8782,44.3339,-0.1298,,-12.7072
1922.3,56.0548,44.5145,-0.221,,-12.5155
1930.12,56.0989,44.5594,-0.2194,,-12.4668
1955.38,56.2416,44.7043,-0.037,,-12.307
1990.02,56.4381,44.903,-0.0725,,-12.0851
2014.05,56.5748,45.0409,-0.1225,,-11.9313
2019.94,56.6084,45.0747,-0.2105,,-11.8938
2031.61,56.6749,45.1416,-1.0997,,-11.8198
2032.53,56.6801,45.1466,-1.2821,,-11.814
2037.25,56.707,45.1719,-3.0065,,-11.7843
2040.39,56.7249,45.1889,-3.8643,,-11.7645
2064.02,56.8597,45.3161,-3.4284,,-11.6175
2076.62,56.9316,45.384,-2.3307,,-11.5405
2078.22,56.9407,45.3926,0.5704,,-11.5308
2090.82,57.0127,45.4605,0.7166,,-11.4552
2125.47,57.2108,45.6471,1.0997,,-11.2551
2150.12,57.3519,45.7799,1.5209,,-11.1219
2150.67,57.355,45.7829,1.5444,,-11.119
2172.72,57.4813,45.9016,2.1618,,-11.008
2190.03,57.5805,45.9949,0.6217,,-10.9259
2190.05,57.5806,45.995,2.791,,-10.9258
2221.54,57.7612,46.1646,2.776,,-10.7858
2243.59,57.8876,46.2834,2.7845,,-10.6931
2276.67,58.0775,46.4615,3.1207,,-10.5579
2295.56,58.186,46.5633,3.1117,,-10.4806
2300.28,58.2131,46.5887,2.5671,,-10.4612
2301.47,58.22,46.5951,2.2913,,-10.4562
2308.15,58.2583,46.6335,1.6975,,-10.4284
2325.47,58.3579,46.7328,1.2611,,-10.355
2330.19,58.385,46.7598,-0.2349,,-10.3346
2347.5,58.4845,46.8592,-1.6608,,-10.2578
2355.12,58.5284,46.9029,-1.1045,,-10.2229
2363.26,58.5752,46.9496,0.1394,,-10.1849
2371.15,58.6206,46.9948,1.7816,,-10.1474
2380.62,58.6751,47.0491,4.5744,,-10.1016
2415.25,58.8745,47.2478,3.5112,,-9.9283
2434.16,58.9834,47.3563,4.4156,,-9.831
2451.47,59.0832,47.4556,3.1419,,-9.7409
2467.23,59.1741,47.546,5.0183,,-9.6586
2492.44,59.3195,47.6906,5.4629,,-9.5269
2500.32,59.365,47.7358,6.8007,,-9.4859
2519.21,59.474,47.8442,5.9925,,-9.3883
2536.53,59.5741,47.9436,5.4419,,-9.2998
2557.01,59.6924,48.061,6.0505,,-9.1971
2571.18,59.7743,48.1423,5.2921,,-9.1273
2579.27,59.8212,48.1887,5.6343,,-9.0881
2590.12,59.8839,48.2447,6.1676,,-9.0362
2593.23,59.9019,48.2607,6.214,,-9.0215
2610.54,60.0022,48.35,4.8262,,-8.9408
2624.71,60.0842,48.4231,3.4208,,-8.8762
2632.57,60.1298,48.4636,1.3333,,-8.8407
2643.6,60.1937,48.5205,2.8789,,-8.7914
2664.09,60.3126,48.6262,5.086,,-8.7008
2673.55,60.3675,48.675,6.5848,,-8.6593
2697.17,60.5047,48.7968,5.6887,,-8.5561
2714.49,60.6054,48.8861,5.1762,,-8.4802
2722.35,60.6512,48.9267,4.4208,,-8.4456
2744.41,60.7796,49.0405,5.0382,,-8.3478
2755.44,60.8439,49.0974,5.9749,,-8.2981
2768.04,60.9174,49.1624,6.5778,,-8.2407
2797.96,61.0922,49.3167,6.7823,,-8.0999
2815.39,61.1943,49.4066,6.9397,,-8.0144
2831.04,61.286,49.4973,6.9663,,-7.9346
2840.12,61.3394,49.55,6.6751,,-7.8869
2846.78,61.3785,49.5886,6.1786,,-7.8511
2862.52,61.4713,49.6799,5.6954,,-7.7638
2881.43,61.5829,49.7895,6.79,,-7.6541
2892.46,61.6482,49.8535,7.4222,,-7.5876
2903.87,61.716,49.9197,6.4251,,-7.5169
2909.77,61.7511,49.9539,5.806,,-7.4796
2920.78,61.8169,50.0177,4.1548,,-7.4084
2922.35,61.8262,50.0268,2.7934,,-7.3982
2945.99,61.9685,50.1639,5.0181,,-7.2387
2957.02,62.0355,50.2278,6.2592,,-7.1613
2969.63,62.1127,50.301,8.1941,,-7.0706
2982.62,62.3064,50.3763,7.491,,-6.9746
2999.54,62.4081,50.4744,6.5719,,-6.8456
3019.77,62.5183,50.5917,8.0311,,-6.6857
3023.18,62.5368,50.614,8.3018,,-6.6582
3035.12,62.6016,50.6921,8.6611,,-6.5602
3054.68,62.7082,50.82,8.7434,,-6.395
3081.84,62.8584,50.9976,9.1367,,-6.1514
3095.62,62.9368,51.0878,9.0854,,-6.0192
3120.82,63.0787,51.2526,9.2256,,-5.7559
3133.5,63.1271,51.3355,19.9139,,-5.6097
3141.5,63.1161,51.3879,38.3396,,-5.5113
3141.68,63.1153,51.389,39.0287,,-5.509
3143.21,63.1072,51.3991,57.2251,,-5.4896
3143.37,63.1062,51.4001,79.4509,,-5.4876
3144.92,63.0961,51.4102,74.8166,,-5.4678
3146.45,63.0843,51.4202,69.7256,,-5.4478
3146.56,63.0835,51.4209,84.0353,,-5.4465
3146.57,63.0834,51.421,85.9382,,-5.4463
3148.08,63.07,51.4309,77.1937,,-5.4265
3148.11,63.0698,51.4311,80.8092,,-5.4261
3149.7,63.0539,51.4414,82.5686,,-5.4051
3159.18,62.9165,51.5034,86.8075,,-5.2742
3160.12,62.8978,51.5096,87.1194,,-5.2606
3168.45,62.6553,51.5641,87.4066,,-5.1368
3171.78,62.4341,51.5859,87.3724,,-5.0851
3176.32,61.8238,51.6156,87.37,,-5.0123
3192.06,60.9219,51.7185,87.5154,,-4.7385
3203.08,59.8796,51.7906,87.6956,,-4.5242
3203.28,59.8582,51.7919,87.6999,,-4.5201
3212.52,59.0568,51.8523,87.774,,-4.3228
3216.21,58.7237,51.8765,87.7811,,-4.239
3219.03,58.4692,51.8914,87.7875,,-4.1731
3236.13,57.0951,51.9822,87.8359,,-3.7258
3236.13,57.8182,51.9822,87.8359,,-3.7257
3240.13,57.3802,52.0035,87.8488,,-3.6072
3253.44,55.9736,52.0741,87.8946,,-3.1652
3272.34,55.0512,52.1744,87.9672,,-2.4436
3289.65,54.0059,52.2663,88.042,,-1.7692
3305.15,53.3294,52.3486,88.1166,,-1.1915
3314.84,52.9282,52.4,88.1677,,-0.8436
3322.97,52.5467,52.4432,88.2136,,-0.5579
3340.03,51.6603,52.5337,88.3207,,0.0284
3369.94,50.3806,52.6925,88.5369,,1.0218
