x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
1211.25,44.348,33.802,17.317,-24.147,-22.882
1211.74,44.355,33.802,17.317,-24.131,-22.882
1215.81,44.418,33.803,17.316,-24.073,-22.884
1233.75,44.697,33.8,17.311,-24.307,-22.897
1244.26,44.779,33.798,17.309,-24.451,-22.906
1252.13,44.824,33.797,17.307,-23.499,-22.914
1266.28,44.911,33.795,17.304,-22.32,-22.929
1268.34,44.926,33.794,17.303,-21.939,-22.932
1277.31,45.007,33.793,17.301,-19.275,-22.943
1282.74,45.066,33.792,17.3,-18.229,-22.95
1291.47,45.18,33.79,17.299,-17.029,-22.962
1296.64,45.269,33.79,17.298,-16.306,-22.969
1307.21,45.384,33.788,17.296,-15.012,-22.985
1310.78,45.383,33.787,17.295,-14.66,-22.99
1333.95,45.298,33.783,17.291,-12.767,-23.024
1342.22,45.307,33.782,17.29,-12.186,-23.035
1357.54,45.305,33.779,17.288,-11.358,-23.051
1367.37,45.308,33.777,17.286,-11.061,-23.059
1373.26,45.309,33.776,17.286,-10.711,-23.063
1379.56,45.311,33.775,17.285,-9.075,-23.066
1392.53,45.314,33.773,17.284,-8.259,-23.07
1398.43,45.316,33.772,17.283,-8.313,-23.071
1409.42,45.318,33.77,17.282,-9.493,-23.072
1426.73,45.323,33.767,17.281,-7.97,-23.071
1461.32,45.331,33.761,17.279,-7.323,-23.068
1475.47,45.334,33.759,17.279,-6.029,-23.066
1479.23,45.335,33.758,17.279,-5.844,-23.065
1494.34,45.338,33.761,17.278,-5.801,-23.064
1499.54,45.339,33.762,17.278,-5.991,-23.063
1513.2,45.342,33.765,17.278,-6.333,-23.062
1558.78,45.352,33.773,17.279,-6.295,-23.064
1577.19,45.356,33.777,17.28,-6.051,-23.068
1583.94,45.357,33.778,17.281,-5.8,-23.07
1602.81,45.361,33.781,17.282,-5.114,-23.077
1645.25,45.369,33.789,17.285,-5.647,-23.101
1667.25,45.373,33.794,17.286,-6.484,-23.117
1689.25,45.377,33.798,17.288,-7.244,-23.134
1708.11,45.38,33.801,17.29,-8.843,-23.149
1730.11,45.383,33.805,17.293,-9.68,-23.167
1750.56,45.386,33.809,17.295,-10.335,-23.182
1756.85,45.387,33.81,17.296,-10.381,-23.186
1758.4,45.387,33.811,17.296,-10.364,-23.187
1769.8,45.388,33.813,17.297,-9.788,-23.195
1778.84,45.389,33.814,17.298,-9.299,-23.2
1800.84,45.389,33.818,17.301,-9.983,-23.209
1813.41,45.388,33.821,17.303,-10.782,-23.213
1833.85,45.383,33.825,17.305,-10.326,-23.216
1855.85,45.379,33.829,17.309,-11.353,-23.216
1887.3,45.379,33.834,17.313,-10.629,-23.207
1918.74,45.38,33.84,17.318,-10.895,-23.19
1926.54,45.381,33.842,17.319,-10.937,-23.185
1951.74,45.383,33.846,17.323,-10.895,-23.165
1986.33,45.388,33.853,17.328,-11.123,-23.136
2010.31,45.391,33.857,17.332,-11.306,-23.115
2016.2,45.392,33.858,17.333,-11.427,-23.11
2027.84,45.393,33.86,17.335,-12.381,-23.101
2028.76,45.394,33.86,17.335,-12.569,-23.101
2033.46,45.394,33.859,17.336,-14.319,-23.097
2036.6,45.395,33.859,17.337,-15.194,-23.095
2060.18,45.398,33.855,17.341,-14.89,-23.079
2072.77,45.4,33.853,17.343,-13.862,-23.072
2074.36,45.401,33.852,17.343,-10.97,-23.071
2086.94,45.403,33.85,17.345,-10.893,-23.065
2121.52,45.408,33.845,17.352,-10.703,-23.058
2146.13,45.412,33.84,17.356,-10.419,-23.061
2146.68,45.412,33.84,17.356,-10.398,-23.062
2168.69,45.416,33.837,17.36,-9.903,-23.073
2185.97,45.419,33.834,17.363,-11.539,-23.087
2185.99,45.419,33.834,17.363,-9.37,-23.087
2217.42,45.425,33.829,17.369,-9.56,-23.122
2239.43,45.429,33.825,17.373,-9.674,-23.152
2272.44,45.435,33.819,17.379,-9.521,-23.2
